@timestamp,temperaturesensor.telemetry_temperature_unit,temperaturesensor.telemetry_temperature_value,temperaturesensor.timestamp,temperaturesensor.uuid,measurement_name,tag.host,tag.sensor_type
2025-04-04T00:00:00Z,°C,20.97,1743724800,958007c5-18ca-449f-9f2b-67488429b9e6,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T00:15:00Z,°C,28.6,1743725700,97dae0ac-7f41-45f5-b0bf-30f25ce81f0d,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T00:30:00Z,°C,30.66,1743726600,118c637b-84fd-49b5-96cf-a2125f67ed3b,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T00:45:00Z,°C,26.84,1743727500,7eb1f97e-7d1b-4f14-a888-8e7c962aac5d,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T01:00:00Z,°C,24.63,1743728400,5aa3346e-065b-4be9-bd7a-e67ea518b1d3,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T01:15:00Z,°C,19.5,1743729300,ebcc20cd-06c8-4219-a0fe-8abcb371c14b,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T01:30:00Z,°C,28.32,1743730200,0c4a2f37-78cb-47f6-b670-203db311d9cb,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T01:45:00Z,°C,18.21,1743731100,9722cb57-af76-4e1c-863c-69c0692f63f3,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T02:00:00Z,°C,20.31,1743732000,b4563c3c-cfda-4918-9f1c-dc3808d72dd2,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T02:15:00Z,°C,24.83,1743732900,3a850a22-d598-4496-a709-f5034e4c21b7,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T02:30:00Z,°C,33.9,1743733800,04f3996e-0013-47b3-9ebc-cced10ea7428,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T02:45:00Z,°C,21.64,1743734700,d9e78566-1d41-4990-a2c0-7165c9984874,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T03:00:00Z,°C,20.62,1743735600,a479105e-fb3b-4ecd-bdc6-8f8b29ef06b2,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T03:15:00Z,°C,26.64,1743736500,73a44c69-7649-4493-8f9a-84df54b32639,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T03:30:00Z,°C,22.94,1743737400,b0b13d83-3b9a-4334-8622-91f43625f970,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T03:45:00Z,°C,31.58,1743738300,54304d51-87f7-481a-896e-6da993c24258,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T04:00:00Z,°C,29.37,1743739200,774e27cd-b2c8-4b5b-a08f-290bd17c569b,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T04:15:00Z,°C,30.98,1743740100,eec6f767-ae6d-49bc-9eaf-7ae7f604ea15,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T04:30:00Z,°C,26.64,1743741000,5b870b99-827c-4495-9a1c-4a7bf5eb401d,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T04:45:00Z,°C,28.46,1743741900,a8501317-9aa1-48d6-8af8-8433da9b0252,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T05:00:00Z,°C,26.08,1743742800,7ab3540c-7d82-4129-8847-aecc272ebc1d,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T05:15:00Z,°C,28.58,1743743700,d1106994-6139-4df6-87b2-1eb003d8d117,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T05:30:00Z,°C,27.22,1743744600,c80d319c-7e83-453a-acab-2ce8bd992167,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T05:45:00Z,°C,32.52,1743745500,921e10c0-28e6-4947-a618-3ad90a06e81d,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T06:00:00Z,°C,22.11,1743746400,233015c5-58a2-4a3e-95e3-3ad7a253e732,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T06:15:00Z,°C,20.24,1743747300,38d87c4f-7eb9-420f-bd7e-1ee00fb28255,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T06:30:00Z,°C,19.4,1743748200,5f30a1a0-e454-48e8-b9f9-be7511ede7f4,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T06:45:00Z,°C,18.72,1743749100,86177b29-e6fe-4dcb-9a43-ae3699bcb0dc,temperaturesensor,temp_host_001,temperaturesensor
2025-04-04T07:00:00Z,°C,20.21,1743750000,39992837-7f0b-454d-a306-f2d275a857b0,temperaturesensor,temp_host_001,temperaturesensor
